,claimReview_author,claimReview_author_name,claimReview_author_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_url,creativeWork_author_name,creativeWork_author_sameAs,creativeWork_datePublished,extra_body,extra_entities_author,extra_entities_body,extra_entities_claimReview_claimReviewed,extra_entities_keywords,extra_refered_links,extra_tags,extra_title,rating_alternateName,rating_bestRating,rating_ratingValue,rating_worstRating
0,,,,"The Pfizer and Moderna Covid-19 vaccines use lipid nanoparticles to deliver an mRNA load into cells.
",,,https://fullfact.org/online/covid-vaccine-nanoparticles/,,,,,,,,,,,No evidence that nanoparticles in Covid-19 vaccines affect fertility,"Correct.
",,,
1,,,,"These lipid nanoparticles may have adverse effects on fertility for both men and women.
",,,https://fullfact.org/online/covid-vaccine-nanoparticles/,,,,,,,,,,,No evidence that nanoparticles in Covid-19 vaccines affect fertility,"Nanoparticles are a broad spectrum of different materials that only have their small size in common. There’s no evidence that the lipid nanoparticles in these vaccines will have any effect on fertility.
",,,
2,,,,"ONS data shows huge falls in non-Covid causes of death in December 2020.
",,,https://fullfact.org/health/ons-deaths-leading-causes-2015-2019/,,,,,,,,,,,ONS death figures not averaged correctly,"The data was wrong. It claimed to show a huge fall in 2020 against the previous five-year average. But that five-year “average” hadn’t in fact been divided by five, meaning it was five times too high.
",,,
3,,,,"You can't have the Pfizer vaccine if you're allergic to penicillin.
",,,https://fullfact.org/online/penicillin-pfizer-vaccine/,,,,,,,,,,,Penicillin allergies don’t rule out Pfizer vaccine,"Official advice in the UK is that having penicillin allergies doesn’t rule out having any of the approved Covid-19 vaccines.
",,,
4,,,,"A leaked letter shows the government has a deliberate plan to damage the economy with the help of a public health campaign.
",,,https://fullfact.org/online/cabinet-office-fake-letter/,,,,,,,,,,,Fake letter from Cabinet Office spreads on social media,"The letter is fake.
",,,
5,,,,"Sir Keir Starmer has never said that he wanted the UK to remain in the European Medicines Agency after Brexit.
",,,https://fullfact.org/health/keir-starmer-european-medicines-agency/,,,,,,,,,,,Keir Starmer did want the UK to remain in the European Medicines Agency,"This is not true. He said at least twice that the UK should seek to remain in the European Medicines Agency.
",,,
6,,,,"Inhaling steam can cure Covid-19 by killing the virus that causes it when it is in the sinuses, before it reaches the lungs.
",,,https://fullfact.org/online/steam-covid/,,,,,,,,,,,There’s no proof steam inhalation cures Covid-19,"There’s no evidence that this is the case.
",,,
7,,,,"Two Pfizer doses are 99.96% effective.
",,,https://fullfact.org/health/coronavirus-pfizer-vaccine-efficacy-israel/,,,,,,,,,,,"Pfizer vaccine effective, though not as effective as newspapers suggest","The Pfizer vaccine has an efficacy rate of over 90%. The 99.96% figure is not an efficacy rate but the proportion of people vaccinated in Israel who did not later test positive for the virus.
",,,
8,,,,"“Two Pfizer doses 'are 99.96% effective': Double jab weeks apart prevents almost ALL cases of Covid-19, research in Israel suggests”.",,,https://fullfact.org/health/coronavirus-pfizer-vaccine-efficacy-israel/,,,,,,,,,,,"Pfizer vaccine effective, though not as effective as newspapers suggest",No verdict for Individual claims,,,
9,,,,"Scotland’s bill for HS2 is £17 billion.
",,,https://fullfact.org/online/hs2-scotland/,,,,,,,,,,,HS2 will not cost Scotland £17 billion,"Incorrect. There is no evidence for this claim. In effect, all money spent by Scotland on HS2 is returned through the Barnett formula.
",,,
10,,,,"53 people have died in Gibraltar in 10 days after vaccinations with the Pfizer Covid-19 started.
",,,https://fullfact.org/online/gibraltar-covid-vaccine/,,,,,,,,,,,53 people have not died in Gibraltar because of the Covid-19 vaccine,"As of 27 January, out of more than 11,000 vaccinated, six have died after receiving the vaccine, but there’s no evidence these deaths were related to the vaccine. 54 have died with or of Covid-19 in Gibraltar since vaccinations started on 10 January.
",,,
11,,,,"Article 42 of the Magna Carta 'enshrines' the right to free movement at home and across borders in peacetime.
",,,https://fullfact.org/law/magna-carta-article-42/,,,,,,,,,,,“Article 42” of Magna Carta only existed for a short time,"Wrong. This provision existed in 1215 but it's not part of the most recently signed Magna Carta or modern law.
",,,
12,,,,"Pfizer is using children as lab rats to test the Covid-19 vaccine.
",,,https://fullfact.org/online/teen-covid-vaccine-trial/,,,,,,,,,,,Adolescents have been recruited for Covid-19 vaccine trials in the US,"2,000 children in the US have been enrolled in Covid-19 vaccine trials in the US.
",,,
13,,,,"Research shows that only 11% of people self-isolate when asked to do so by NHS Test and Trace.
",,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,"This is correct for those who were close contacts of people who had tested positive. A survey in the summer found that only 11% of these people stayed in their homes for the full period required.
",,,
14,,,,"Research shows that people do not follow self-isolation rules because they cannot afford to.
",,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,"Based on the available evidence, this is not a major factor reported by people who do not self-isolate correctly. Just 8.9% said that they broke the rules in order to go to work.
",,,
15,,,,"Only 11% of people who need to self-isolate are being contacted.
",,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,"Incorrect. We do not have a precise figure for this. Official statistics show that the proportion of known contacts being reached is much higher.
",,,
16,,,,“Research conducted for the Department of Health found that only 11% of people asked to self-isolate by NHS Test and Trace have done so.”,,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,No verdict for Individual claims,,,
17,,,,“It is estimated that only about 11% of people self-isolate when they are asked to do so—11%. That is not because they do not want to; it is because many do not feel that they can afford to do so.”,,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,No verdict for Individual claims,,,
18,,,,"“At the moment only 11% of people who are asked to self-isolate through the NHS app are actually able to do so, many of them not eligible for a one-off payment to help them do that.”",,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,No verdict for Individual claims,,,
19,,,,"“We still need to fix the gaps in contact tracing and in financial support for those who need to self-isolate. Only 11% of people are being contacted, according to the figures that I am getting.”",,,https://fullfact.org/health/labour-11-percent-not-self-isolate/,,,,,,,,,,,Why are people not self-isolating?,No verdict for Individual claims,,,
20,,,,"A million children have been gang raped and groomed in the UK.
",,,https://fullfact.org/crime/one-million-grooming/,,,,,,,,,,,"Many children have been the victims of grooming gangs, but there’s no evidence for a figure of one million","This figure is not reliable. It appears to come from assuming that the number of suspected cases of child sexual exploitation in 2018/19 can be multiplied by 30 years—which still does not reach one million. We don’t know what the true number is.
",,,
21,,,,"Football players will display Black Lives Matter on their shirts but weren’t allowed to display the poppy symbol.
",,,https://fullfact.org/online/poppy-black-lives-matter-football/,,,,,,,,,,,Footballers aren’t banned from wearing the poppy,"Footballers in the Premier League have displayed the words Black Lives Matter on their shirts recently, and have always been allowed to wear the poppy. Home nations teams were fined in 2016 for wearing the poppy in an international fixture, but this rule has since been changed.
",,,
22,,,,"A new law to speed up the installation of 5G technology was quietly passed on March 23.
",,,https://fullfact.org/health/5g-beyond-us-law/,,,,,,,,,,,The 5G And Beyond Act is not a British law,"This law was passed in the US, not the UK, after going through Congress for a year. It’s intended to ensure the security of 5G infrastructure, not to speed up the installation.
",,,
23,,,,"5G technology is dangerous for human health.
",,,https://fullfact.org/health/5g-beyond-us-law/,,,,,,,,,,,The 5G And Beyond Act is not a British law,"This is not true.
",,,
24,,,,"Iceland has declared all religions are mental disorders.
",,,https://fullfact.org/online/iceland-religions-mental-disorders-satire/,,,,,,,,,,,Iceland has not declared that all religions are mental disorders,"This is false and originated from satirical article online. The Evangelical Lutheran Church is the official state church of Iceland.
",,,
25,,,,"The justice budget has fallen by 40% since 2010.
",,,https://fullfact.org/law/justice-spending-rachel-shabi/,,,,,,,,,,,"Justice spending is down 25% since 2010, not 40%","This was a proposal, but is now out of date. The government announced a 40% real terms reduction in the Ministry of Justice budget between 2010/11 and 2019/20, but in the end the reduction was 25%.
",,,
26,,,, “We’ve seen 40% cuts to the prison and criminal justice system.”,,,https://fullfact.org/law/justice-spending-rachel-shabi/,,,,,,,,,,,"Justice spending is down 25% since 2010, not 40%",No verdict for Individual claims,,,
27,,,,"The living wage is £18,000 a year.
",,,https://fullfact.org/online/living-wage-pensions-comparison/,,,,,,,,,,,Post comparing the living wage and pensions needs context,"This is broadly correct for someone working full time.
",,,
28,,,,"Pensioners only receive £8,000 a year and still have to pay for a TV license.
",,,https://fullfact.org/online/living-wage-pensions-comparison/,,,,,,,,,,,Post comparing the living wage and pensions needs context,"The amount pensioners receive varies depending on a number of factors. Over 75s do now have to pay for a TV license, with some exceptions.
",,,
29,,,,"The new UK-Japan trade deal will deliver a £1.5 billion boost to the UK economy.
",,,https://fullfact.org/economy/japan-eu-deal-thornberry/,,,,,,,,,,,Is the UK's trade deal with Japan better than the EU's?,"This is the estimate of annual GDP growth after 15 years, relative to 2018, before the existing EU-Japan trade deal took effect.
",,,
30,,,,"The old EU-Japan trade deal was estimated to deliver a £2.6 billion boost to the UK economy.
",,,https://fullfact.org/economy/japan-eu-deal-thornberry/,,,,,,,,,,,Is the UK's trade deal with Japan better than the EU's?,"This is the estimate of annual GDP growth after 15 years, but it can’t be compared to the estimate for the UK-Japan deal because they used very different calculation methods.
",,,
