,source,url,claim,ind_claim,jaccard_similarity,cosine_similarity,embedding_based_similarity,id
0,fullfact,https://fullfact.org/online/steam-covid/,"Inhaling steam can cure Covid-19 by killing the virus that causes it when it is in the sinuses, before it reaches the lungs.
",empty,0.0,0.0,0,326
1,fullfact,https://fullfact.org/health/coronavirus-pfizer-vaccine-efficacy-israel/,"Two Pfizer doses are 99.96% effective.
","“Two Pfizer doses 'are 99.96% effective': Double jab weeks apart prevents almost ALL cases of Covid-19, research in Israel suggests”.",0.28,0.43519882289401746,0.72673446918283,906
2,fullfact,https://fullfact.org/online/gibraltar-covid-vaccine/,"53 people have died in Gibraltar in 10 days after vaccinations with the Pfizer Covid-19 started.
",empty,0.0,0.0,0,326
3,fullfact,https://fullfact.org/law/magna-carta-article-42/,"Article 42 of the Magna Carta 'enshrines' the right to free movement at home and across borders in peacetime.
",empty,0.0,0.0,0,326
4,fullfact,https://fullfact.org/online/teen-covid-vaccine-trial/,"Pfizer is using children as lab rats to test the Covid-19 vaccine.
",empty,0.0,0.0,0,326
5,fullfact,https://fullfact.org/online/living-wage-pensions-comparison/,"The living wage is £18,000 a year.
",empty,0.0,0.0,0,326
6,fullfact,https://fullfact.org/online/living-wage-pensions-comparison/,"Pensioners only receive £8,000 a year and still have to pay for a TV license.
",empty,0.0,0.0,0,326
7,fullfact,https://fullfact.org/online/flu-not-eradicated/,"A post claims influenza has been eradicated and seems to suggest this is suspicious.
",empty,0.0,0.0,0,326
8,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"If all the other lockdowns haven’t worked, why would this one be any different?
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.3076923076923077,0.26775427280549857,0.7992028329211569,301
9,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"The reason why there are more cases is because they are testing more people.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.03333333333333333,0.0,0.7532285727190627,301
10,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"65,000 deaths tested positive for coronavirus within 30 days of their death, so they could have died of a heart attack or a stroke or cancer, but it will go down as a Covid death.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.04878048780487805,0.0,0.6111709732564337,301
11,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"Bacterial pneumonia is caused by people wearing masks and is massively on the rise.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.0625,0.03240896263533971,0.6644329518700138,301
12,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"Suicides have increased during lockdown.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.07407407407407407,0.05608733378473449,0.6232267791555948,301
13,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"National Child Mortality Database identified deaths in under 18s increased dramatically in the first lockdown.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.05714285714285714,0.027393828169573545,0.7448052993051165,301
14,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"A survey from Samaritans said one in four people had suicidal thoughts during lockdown.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.058823529411764705,0.030444409206091413,0.6906122201820585,301
15,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"Children aren’t affected by Covid-19 and don’t transmit the virus.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.06666666666666667,0.0,0.6174139735179566,301
16,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"Children won’t be allowed back to school unless they’ve been tested.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.1,0.0774651573979728,0.8344958334745866,301
17,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"Up to 93% of PCR tests are false positives.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.03125,0.0,0.4746384931637094,301
18,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"The government can introduce restrictions on Universal Credit where you can’t get it unless you get tested and unless you get a vaccine.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.08823529411764706,0.0,0.7234303367331267,301
19,fullfact,https://fullfact.org/online/viral-influencer-video-full-false-covid-19-claims/,"53 million tests means that they have 53 millions people’s DNA on file.
","They’ve introduced mandatory masks, social distancing and all these measures, closed primary schools and closed secondary schools, and closed non-essential shops, and yet nothing has worked. If all the other lockdowns haven’t worked, why would this be any different?”",0.0625,0.0,0.5685092382945642,301
